national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
152,14.0,0,0,0,0,0,0,0,0,2,No,0,0.99,0.99,0,No,No,No,Yes,No,No
15,8.0,0,0,0,0,0,0,3,5,2,No,0,0.97,0.97,0,No,No,Yes,Yes,No,No
6,12.0,0,0,0,10,0,0,0,0,0,No,0,0.74,0.78,0,No,No,No,Yes,No,No
0,4.0,0,4,4,4,0,0,0,0,0,No,2,0.7,0.66,0,Yes,No,No,Yes,No,No
0,2.0,0,21,21,24,5,10,14,18,0,No,0,0.84,0.8,0,Yes,No,Yes,Yes,No,No
50,2.0,0,0,0,0,0,0,1,1,2,No,0,0.77,0.81,0,No,No,No,Yes,No,No
1,12.0,0,0,0,0,0,0,1,1,0,No,0,0.73,0.79,0,Yes,No,No,Yes,No,No
7,2.0,0,6,12,18,3,9,20,39,0,No,0,0.98,0.96,0,No,No,No,Yes,No,No
445,12.0,0,0,0,0,1,14,23,31,3,No,0,0.73,0.79,0,No,No,No,Yes,No,No
28,4.0,0,0,0,0,0,0,1,1,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
8,2.0,0,0,0,0,0,0,0,0,0,No,0,0.33,0.24,0,Yes,No,No,Yes,No,No
7,8.0,0,7,14,21,5,10,16,24,0,No,0,0.95,0.95,0,No,No,No,Yes,No,No
27171,8.0,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,Yes,Yes,No,No
29,8.0,0,0,0,0,11,17,37,65,0,No,0,0.95,0.95,0,No,No,No,Yes,No,No
3,,0,0,0,0,0,0,0,0,1,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No,No
19,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
2,8.0,0,28,50,68,2,15,34,56,1,No,6,0.52,0.67,0,No,No,No,Yes,No,Yes
11,8.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.95,0,No,No,No,Yes,No,No
5,2.0,0,0,0,0,0,0,0,0,0,No,0,0.83,0.69,0,No,No,No,Yes,No,No
3,8.0,0,3,9,12,1,4,7,15,0,No,0,0.86,0.89,0,No,No,No,Yes,No,No
4056,8.0,0,0,0,0,0,0,0,0,0,No,0,0.95,0.93,0,No,No,No,Yes,No,No
1,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
24,8.0,20,0,0,20,6,11,29,44,2,No,0,0.95,0.95,0,No,No,No,Yes,No,No
57,2.0,0,0,0,105,2,16,20,29,0,No,0,1.0,0.99,0,No,No,No,Yes,No,No
123,9.0,0,0,0,0,1,1,1,3,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
13,8.0,0,0,0,0,0,0,0,0,0,No,0,0.15,0.1,0,No,No,Yes,Yes,No,No
4930,2.0,0,0,0,0,6,7,16,25,8,No,0,-99.0,0.28,0,No,No,Yes,Yes,No,No
28,8.0,0,130,130,130,0,0,2,2,2,No,0,0.16,0.1,0,Yes,No,Yes,No,No,No
6,8.0,0,0,0,0,2,2,3,4,1,No,0,0.99,0.99,0,No,No,No,Yes,No,No
54,9.0,0,0,0,0,1,7,28,41,0,No,0,0.94,0.83,0,Yes,No,No,Yes,No,No
126,9.0,73,344,524,644,49,151,332,461,53,No,20,0.58,0.64,0,No,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No,No
5,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No,No
241,2.0,48,1968,3248,4400,630,1779,3061,4413,80,No,180,0.95,0.89,0,No,No,No,Yes,No,No
4,8.0,0,29,42,55,10,30,44,57,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
169,2.0,0,408,680,1020,98,264,497,717,94,No,0,0.93,0.89,0,No,No,No,Yes,No,No
13,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
0,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,Yes,Yes,No,No
1411,8.0,1318,2520,3600,4440,719,1564,2512,4194,725,No,240,0.82,0.81,0,No,No,No,Yes,No,No
5,4.0,0,3,3,3,0,0,0,0,0,No,1,0.73,0.78,0,Yes,No,No,Yes,No,No
0,2.0,0,2,2,2,0,0,0,0,0,No,2,0.16,0.1,0,Yes,No,Yes,Yes,No,No
3,4.0,0,4,7,13,0,3,7,7,0,No,0,0.54,0.48,0,No,No,No,Yes,No,No
0,8.0,0,0,0,0,0,0,0,0,1,No,0,0.85,0.8,0,No,No,No,Yes,No,No
45,8.0,0,0,0,0,0,1,1,2,0,No,0,-99.0,-99.0,0,No,No,Yes,Yes,No,No
26,8.0,1,168,240,328,23,97,176,274,65,No,8,0.15,0.1,0,No,No,No,Yes,No,Yes
213,8.0,37,134,259,409,47,161,284,422,73,No,0,0.9,0.89,0,No,No,No,Yes,No,No
316,17.0,7,140,270,400,35,150,304,464,72,No,0,0.99,0.99,0,No,No,No,Yes,No,No
2,8.0,0,0,0,0,0,0,0,0,1,No,0,0.9,0.78,0,No,No,No,Yes,No,No
15,2.0,0,0,0,0,20,43,43,50,1,No,0,0.31,0.2,0,No,No,No,Yes,No,No
109,2.0,0,0,0,0,0,0,1,2,0,No,0,0.93,0.87,0,No,No,No,Yes,No,No
649,2.0,393,2178,4191,6270,616,2103,3643,5210,542,No,0,0.99,0.98,0,No,No,Yes,Yes,No,No
3,4.0,4,1,1,1,0,0,0,0,0,No,1,0.73,0.78,0,Yes,No,No,Yes,No,No
